zone,states,n_samples,tdb_mean,tdb_std,tdb_p5,tdb_p25,tdb_p50,tdb_p75,tdb_p95,tdb_max,rh_mean,rh_std,rh_p5,rh_p50,rh_p95,wind_mean,wind_p5,wind_p50,wind_p95,tr_offset_p5,tr_offset_p50,tr_offset_p95,source_year,source_file
Hot_Dry,"Rajasthan, Gujarat, MP",611863,33.7,5.5,25.6,29.2,33.0,38.3,42.6,51.9,43.1,22.9,13.5,38.1,83.9,4.06,1.17,3.73,8.05,0.0,2.5,3.9,2010,era5_india_summer_2010.nc
Hot_Humid,"Kerala, TN coast, AP coast, Odisha, WB",1016652,30.1,3.5,25.4,28.5,29.5,30.7,38.0,45.9,71.0,18.4,29.8,77.8,89.4,4.86,1.04,4.17,10.53,0.0,2.2,3.8,2010,era5_india_summer_2010.nc
Semi_Arid,"Karnataka, Telangana, Maharashtra, TN interior",396396,31.9,5.0,24.5,28.4,30.9,35.7,40.6,46.7,55.6,22.5,20.0,56.4,89.0,3.44,0.95,3.13,6.88,0.0,2.3,3.9,2010,era5_india_summer_2010.nc
Composite,"Delhi, UP, Bihar, Haryana, Punjab",496714,32.9,6.5,20.6,28.5,33.7,38.2,42.0,47.4,40.0,20.7,13.3,36.2,80.0,3.05,0.77,2.78,6.17,0.1,2.6,4.0,2010,era5_india_summer_2010.nc
Highland,"Himachal, Uttarakhand, Northeast",495017,29.3,7.3,17.0,23.9,29.0,35.2,41.1,46.9,54.9,26.6,15.0,54.0,95.3,2.54,0.52,2.16,5.73,0.2,2.5,4.1,2010,era5_india_summer_2010.nc
Hot_Dry,"Rajasthan, Gujarat, MP",611535,32.2,5.4,23.7,28.3,31.6,36.3,41.1,49.9,47.7,22.3,15.7,44.9,84.6,4.07,1.05,3.7,8.33,0.0,2.4,3.9,2011,era5_india_summer_2011.nc
Hot_Humid,"Kerala, TN coast, AP coast, Odisha, WB",1016643,29.3,3.2,24.6,27.6,28.9,30.0,36.2,43.9,70.9,17.2,33.2,77.0,89.1,4.71,0.99,4.04,9.97,0.0,2.2,3.8,2011,era5_india_summer_2011.nc
Semi_Arid,"Karnataka, Telangana, Maharashtra, TN interior",396387,30.6,4.5,23.6,27.3,29.9,34.1,38.5,44.0,57.4,20.6,24.0,58.0,88.5,3.52,0.94,3.17,7.33,0.0,2.3,3.9,2011,era5_india_summer_2011.nc
Composite,"Delhi, UP, Bihar, Haryana, Punjab",486755,30.9,6.1,19.9,26.9,31.2,35.3,40.2,47.6,49.2,22.3,17.7,46.6,89.4,2.74,0.68,2.48,5.56,0.1,2.5,4.0,2011,era5_india_summer_2011.nc
Highland,"Himachal, Uttarakhand, Northeast",479135,28.2,6.2,17.5,23.8,28.2,32.7,38.7,46.7,60.6,23.2,21.4,63.3,94.3,2.18,0.46,1.85,4.94,0.2,2.4,4.2,2011,era5_india_summer_2011.nc
Hot_Dry,"Rajasthan, Gujarat, MP",611718,32.3,5.3,24.2,28.1,31.9,36.5,40.8,48.5,46.6,21.3,17.2,43.0,84.1,4.02,1.21,3.76,7.83,0.0,2.5,3.9,2012,era5_india_summer_2012.nc
Hot_Humid,"Kerala, TN coast, AP coast, Odisha, WB",1016652,29.8,3.5,25.1,28.1,29.1,30.6,37.5,46.2,69.6,19.0,29.0,77.2,88.8,5.12,1.12,4.59,10.69,0.0,2.3,3.8,2012,era5_india_summer_2012.nc
Semi_Arid,"Karnataka, Telangana, Maharashtra, TN interior",396396,31.6,5.0,24.1,28.1,30.8,35.5,40.1,46.4,53.5,21.8,20.5,52.5,87.9,3.53,1.02,3.31,6.72,0.0,2.3,3.9,2012,era5_india_summer_2012.nc
Composite,"Delhi, UP, Bihar, Haryana, Punjab",494681,32.1,6.6,19.9,27.7,33.0,37.3,41.5,47.0,39.4,18.4,15.7,35.7,76.5,3.1,0.79,2.86,6.1,0.1,2.6,4.0,2012,era5_india_summer_2012.nc
Highland,"Himachal, Uttarakhand, Northeast",495558,29.1,7.3,16.8,23.5,29.0,35.0,40.8,46.4,51.3,25.2,16.3,47.0,93.9,2.6,0.54,2.2,5.82,0.2,2.5,4.2,2012,era5_india_summer_2012.nc
Hot_Dry,"Rajasthan, Gujarat, MP",611624,32.0,5.5,23.7,27.9,31.4,36.1,41.2,48.8,48.4,23.3,15.7,45.5,86.8,3.85,1.1,3.6,7.4,0.0,2.4,3.9,2013,era5_india_summer_2013.nc
Hot_Humid,"Kerala, TN coast, AP coast, Odisha, WB",1016652,29.6,3.5,24.7,27.8,29.0,30.2,37.5,46.4,70.6,18.2,30.1,77.0,89.6,5.02,1.08,4.43,10.55,0.0,2.1,3.9,2013,era5_india_summer_2013.nc
Semi_Arid,"Karnataka, Telangana, Maharashtra, TN interior",396396,31.0,5.1,23.7,27.3,30.1,34.7,40.1,46.7,57.0,22.4,20.7,59.0,89.8,3.63,1.03,3.35,7.11,0.0,2.2,3.9,2013,era5_india_summer_2013.nc
Composite,"Delhi, UP, Bihar, Haryana, Punjab",494376,30.9,6.3,19.5,26.7,31.3,35.6,40.8,47.2,48.7,23.6,16.2,45.8,90.2,2.96,0.72,2.69,6.01,0.1,2.4,4.0,2013,era5_india_summer_2013.nc
Highland,"Himachal, Uttarakhand, Northeast",496382,28.1,6.7,16.7,23.3,28.2,33.0,39.2,46.0,58.5,25.1,18.1,61.6,94.3,2.46,0.5,2.07,5.59,0.2,2.4,4.2,2013,era5_india_summer_2013.nc
Hot_Dry,"Rajasthan, Gujarat, MP",611641,32.4,5.5,23.7,28.3,32.1,36.7,41.4,47.9,46.0,20.9,17.2,42.8,83.1,3.79,1.0,3.43,7.85,0.0,2.5,3.9,2014,era5_india_summer_2014.nc
Hot_Humid,"Kerala, TN coast, AP coast, Odisha, WB",1016652,29.9,3.4,25.5,28.1,29.2,30.6,37.4,44.4,69.6,18.3,30.4,76.7,88.6,4.39,0.92,3.85,9.42,0.0,2.3,3.8,2014,era5_india_summer_2014.nc
Semi_Arid,"Karnataka, Telangana, Maharashtra, TN interior",396396,31.6,4.7,24.5,28.1,30.7,35.5,39.3,45.5,54.2,20.7,22.6,53.3,86.9,3.22,0.83,2.93,6.6,0.0,2.3,3.9,2014,era5_india_summer_2014.nc
Composite,"Delhi, UP, Bihar, Haryana, Punjab",491797,31.4,6.5,19.3,27.0,32.1,36.4,40.8,47.0,43.9,19.8,17.7,40.6,81.9,2.96,0.76,2.71,5.94,0.1,2.6,4.0,2014,era5_india_summer_2014.nc
Highland,"Himachal, Uttarakhand, Northeast",491773,28.7,6.9,16.8,23.6,28.7,34.0,39.8,46.8,54.2,24.2,19.0,52.3,93.9,2.52,0.52,2.15,5.7,0.2,2.5,4.2,2014,era5_india_summer_2014.nc
Hot_Dry,"Rajasthan, Gujarat, MP",611733,32.4,5.3,24.6,28.5,31.4,36.7,41.5,48.4,49.8,21.7,17.6,47.5,84.5,3.53,0.95,3.23,7.12,0.0,2.4,3.9,2015,era5_india_summer_2015.nc
Hot_Humid,"Kerala, TN coast, AP coast, Odisha, WB",1016652,29.3,3.2,25.0,27.8,28.9,30.0,36.3,45.8,72.5,15.9,36.7,77.7,89.2,4.55,0.88,3.8,10.47,0.0,2.1,3.8,2015,era5_india_summer_2015.nc
Semi_Arid,"Karnataka, Telangana, Maharashtra, TN interior",396396,30.7,4.6,24.2,27.4,29.9,33.9,39.1,46.1,59.9,19.8,25.9,62.2,87.9,3.25,0.78,2.87,7.15,0.0,2.2,3.9,2015,era5_india_summer_2015.nc
Composite,"Delhi, UP, Bihar, Haryana, Punjab",488442,31.0,6.2,19.9,27.0,31.2,35.6,40.9,45.8,50.5,20.4,19.7,48.9,85.6,2.73,0.69,2.49,5.48,0.1,2.5,4.0,2015,era5_india_summer_2015.nc
Highland,"Himachal, Uttarakhand, Northeast",483989,28.2,6.6,17.0,23.5,28.0,32.7,39.6,45.8,61.3,22.5,23.1,63.5,93.8,2.31,0.48,1.98,5.17,0.2,2.4,4.2,2015,era5_india_summer_2015.nc
Hot_Dry,"Rajasthan, Gujarat, MP",611749,33.1,5.2,25.6,29.1,32.3,37.1,42.0,50.0,48.3,21.1,18.0,45.4,83.8,3.89,1.14,3.56,7.78,0.0,2.4,3.9,2016,era5_india_summer_2016.nc
Hot_Humid,"Kerala, TN coast, AP coast, Odisha, WB",1016652,30.1,3.4,25.7,28.3,29.5,30.6,37.7,44.5,71.2,17.1,33.1,76.9,89.5,4.82,1.03,4.09,10.57,0.0,2.2,3.9,2016,era5_india_summer_2016.nc
Semi_Arid,"Karnataka, Telangana, Maharashtra, TN interior",396396,31.8,4.7,24.9,28.4,30.9,35.4,40.1,45.3,57.4,20.7,25.1,58.4,88.3,3.42,0.94,3.1,6.83,0.0,2.2,3.9,2016,era5_india_summer_2016.nc
Composite,"Delhi, UP, Bihar, Haryana, Punjab",493747,32.0,6.1,20.4,28.3,32.2,36.7,40.9,48.6,48.3,21.0,17.9,46.1,85.3,2.88,0.73,2.65,5.73,0.1,2.5,4.0,2016,era5_india_summer_2016.nc
Highland,"Himachal, Uttarakhand, Northeast",490831,28.8,6.7,17.1,24.1,28.8,33.6,39.7,48.2,60.7,23.4,20.6,63.8,93.9,2.36,0.49,2.01,5.26,0.2,2.4,4.1,2016,era5_india_summer_2016.nc
Hot_Dry,"Rajasthan, Gujarat, MP",611788,32.9,5.2,25.7,28.9,32.0,37.2,41.7,50.3,48.2,22.3,16.0,45.5,85.0,3.91,1.14,3.64,7.74,0.0,2.4,3.9,2017,era5_india_summer_2017.nc
