tdb,tr,rh,v,wbgt,heat_index,age,weight,height,bmi,activity_level,met_w_m2,clo,acclimatized,hydration_status,hours_worked,worker_type,d_lim_t_re_raw,water_loss_g,t_re_final,t_sk_final,remaining_safe_min,hr_estimated,climate_zone,risk_label_int,risk_label,alert_color
30.04,40.42,85.17,5.19,29.094,39.341,56,62.8,153.5,26.67,light,65.0,0.48,0,well,2.34,quarry,480.0,961.7,37.1,33.3,339.84,97.6,Semi_Arid,0,LOW,green
25.33,27.35,70.65,6.4,22.14,25.335,38,69.7,171.4,23.72,heavy,200.0,0.3,1,mild,0.16,construction,480.0,1718.3,37.7,32.2,487.11,97.0,Semi_Arid,0,LOW,green
33.62,51.2,44.03,1.39,30.145,35.808,32,63.2,177.5,20.08,light,65.0,0.38,0,mild,3.6,construction,480.0,2582.5,37.2,35.0,216.02,103.3,Hot_Dry,0,LOW,green
33.49,48.78,35.63,1.29,28.349,33.492,31,77.3,160.7,29.96,heavy,200.0,0.34,0,mild,4.79,quarry,480.0,5544.3,38.0,35.6,144.62,133.4,Semi_Arid,0,LOW,green
30.51,31.88,40.03,5.54,23.359,30.295,31,60.6,156.4,24.8,very_heavy,260.0,0.6,1,mild,2.98,tea_plantation,27.0,5209.7,38.2,34.1,0.0,125.1,Hot_Humid,3,CRITICAL,red
25.76,31.11,80.37,5.12,23.508,25.763,53,68.9,182.3,20.74,moderate,130.0,0.34,1,well,1.37,fishing,480.0,616.8,37.3,32.6,469.69,81.9,Hot_Humid,0,LOW,green
25.92,29.91,51.42,4.56,20.69,25.925,41,59.3,159.8,23.2,moderate,130.0,0.52,0,dehydrated,0.99,fishing,480.0,1231.5,37.4,32.9,300.81,106.4,Hot_Humid,0,LOW,green
35.29,42.31,73.78,1.34,33.405,53.737,58,81.6,179.8,25.25,heavy,200.0,0.48,1,well,0.67,agriculture,480.0,7034.0,37.6,35.5,511.93,119.5,Semi_Arid,0,LOW,green
29.7,37.21,70.66,7.11,26.304,34.47,39,80.5,166.5,29.02,heavy,200.0,0.35,1,mild,4.99,fishing,480.0,3578.9,37.9,33.1,197.24,124.2,Hot_Humid,0,LOW,green
35.91,43.9,56.16,3.97,31.188,45.834,59,62.6,157.1,25.37,light,65.0,0.66,0,dehydrated,3.33,road_work,480.0,2180.4,37.2,33.8,160.34,121.5,Semi_Arid,0,LOW,green
31.63,42.09,64.82,1.42,29.542,37.649,32,75.2,158.0,30.13,very_heavy,260.0,0.33,0,mild,2.03,construction,29.0,6309.0,38.2,35.6,0.0,140.4,Composite,3,CRITICAL,red
38.1,52.6,72.13,1.65,37.3,64.751,28,58.0,154.3,24.36,moderate,130.0,0.44,0,mild,6.35,brick_kiln,63.0,7133.5,39.1,36.8,0.0,143.3,Composite,3,CRITICAL,red
28.53,35.46,65.93,0.91,26.192,31.094,20,45.3,167.9,16.07,heavy,200.0,0.47,0,mild,1.55,quarry,480.0,4053.2,37.8,34.9,338.71,118.2,Semi_Arid,0,LOW,green
40.64,53.89,38.85,4.49,33.661,40.641,29,55.1,167.4,19.65,heavy,200.0,0.42,0,mild,1.99,salt_pan,25.0,7716.5,38.2,35.5,0.0,128.4,Hot_Dry,3,CRITICAL,red
20.57,23.3,59.01,3.24,16.55,20.575,54,58.8,172.2,19.83,heavy,200.0,0.57,0,dehydrated,3.72,agriculture,480.0,1123.7,37.5,33.2,137.01,128.8,Composite,0,LOW,green
32.28,35.94,37.73,4.38,24.559,32.275,55,59.7,172.1,20.15,light,65.0,0.55,1,well,3.75,fishing,480.0,1308.0,37.2,33.1,326.97,75.4,Hot_Humid,0,LOW,green
26.45,29.5,79.98,3.93,24.135,26.447,46,79.3,161.4,30.45,very_heavy,260.0,0.39,1,well,4.98,construction,480.0,3434.9,38.0,33.7,253.32,123.0,Hot_Humid,0,LOW,green
26.42,36.7,80.58,3.7,25.512,26.416,57,50.5,161.9,19.26,heavy,200.0,0.35,1,mild,6.47,brick_kiln,480.0,2267.9,37.6,33.8,108.43,131.1,Hot_Dry,0,LOW,green
35.58,45.57,47.64,7.06,29.184,41.101,19,84.9,183.8,25.12,heavy,200.0,0.52,0,dehydrated,6.18,tea_plantation,31.0,5989.3,38.1,34.2,0.0,142.3,Hot_Humid,3,CRITICAL,red
36.57,45.04,74.23,6.71,33.365,59.464,50,70.7,152.9,30.22,heavy,200.0,0.36,1,dehydrated,6.29,construction,34.0,8490.8,39.1,35.0,0.0,139.6,Hot_Dry,3,CRITICAL,red
34.99,47.6,17.62,1.75,25.456,34.988,46,56.4,160.7,21.83,moderate,130.0,0.49,1,mild,3.14,agriculture,480.0,3777.8,37.6,34.7,308.46,102.1,Hot_Dry,0,LOW,green
27.47,36.4,53.72,7.83,22.356,28.17,50,66.7,167.8,23.69,heavy,200.0,0.55,0,dehydrated,1.75,fishing,480.0,2834.8,37.8,33.0,254.81,119.8,Hot_Humid,0,LOW,green
32.19,46.87,83.97,3.16,32.54,46.858,44,76.8,167.6,27.34,light,65.0,0.53,1,mild,3.45,agriculture,480.0,1811.9,37.1,34.3,289.94,104.3,Composite,0,LOW,green
28.66,33.13,26.34,4.69,19.775,28.655,45,63.8,159.8,24.99,moderate,130.0,0.65,1,well,5.23,road_work,480.0,1985.3,37.5,33.1,237.96,90.6,Semi_Arid,0,LOW,green
36.46,43.75,51.72,6.07,30.311,45.155,50,48.0,160.7,18.59,heavy,200.0,0.38,1,dehydrated,1.88,fishing,35.0,5852.4,38.1,34.3,0.0,114.5,Hot_Humid,3,CRITICAL,red
28.09,31.07,74.87,5.38,25.205,31.533,49,71.8,162.6,27.19,heavy,200.0,0.4,0,dehydrated,2.07,construction,480.0,2672.2,37.7,33.2,235.98,125.6,Composite,0,LOW,green
29.27,41.2,78.69,1.71,29.02,35.209,56,56.7,178.3,17.84,moderate,130.0,0.62,0,mild,6.07,quarry,480.0,2406.4,37.4,34.5,67.83,124.4,Semi_Arid,0,LOW,green
30.33,42.16,71.76,3.98,28.599,36.328,33,47.0,181.0,14.35,heavy,200.0,0.31,0,mild,4.05,construction,480.0,3999.8,37.9,34.4,188.88,135.4,Composite,0,LOW,green
32.17,36.65,62.43,3.24,28.024,38.241,39,68.6,151.1,30.07,moderate,130.0,0.31,1,well,5.76,brick_kiln,480.0,2604.2,37.5,34.1,206.51,104.3,Hot_Dry,0,LOW,green
33.57,45.54,69.05,2.5,31.851,44.895,21,78.7,156.8,32.0,heavy,200.0,0.46,0,mild,4.9,construction,480.0,5403.3,37.9,35.4,138.2,136.8,Hot_Dry,0,LOW,green
22.71,34.71,26.77,5.58,16.132,22.705,36,76.8,159.5,30.2,very_heavy,260.0,0.48,1,well,0.55,brick_kiln,480.0,3184.7,38.0,33.3,519.05,102.9,Composite,0,LOW,green
30.14,33.9,42.9,2.42,23.854,30.22,42,71.4,159.8,27.96,heavy,200.0,0.68,0,dehydrated,5.17,construction,480.0,3679.8,37.8,34.4,50.08,138.6,Hot_Humid,1,MODERATE,yellow
29.48,33.7,65.42,2.54,26.007,32.881,33,51.3,154.2,21.59,heavy,200.0,0.44,1,mild,0.64,tea_plantation,480.0,3492.9,37.8,34.4,458.24,107.5,Highland,0,LOW,green
36.76,46.16,43.02,1.14,31.205,41.93,38,63.9,156.1,26.25,heavy,200.0,0.47,0,dehydrated,2.79,construction,480.0,6207.4,37.9,35.7,192.63,135.1,Hot_Humid,0,LOW,green
32.54,37.66,68.77,1.4,29.802,41.553,36,65.1,180.0,20.11,moderate,130.0,0.56,0,well,1.14,fishing,480.0,3142.5,37.4,34.7,411.57,106.6,Hot_Humid,0,LOW,green
24.89,34.95,62.0,6.41,21.343,24.892,52,70.7,166.0,25.66,heavy,200.0,0.52,0,mild,6.59,construction,480.0,2165.6,37.7,33.0,36.58,124.7,Semi_Arid,1,MODERATE,yellow
31.29,36.42,81.98,7.04,29.054,42.599,30,53.6,163.2,20.12,light,65.0,0.32,0,well,4.33,brick_kiln,480.0,1239.3,37.3,32.7,220.33,107.7,Hot_Dry,0,LOW,green
31.27,37.45,63.08,3.32,27.579,36.273,24,49.7,174.4,16.35,heavy,200.0,0.55,0,mild,6.14,salt_pan,480.0,4200.0,37.9,34.6,63.46,129.3,Hot_Dry,0,LOW,green
